Name,Age,Runs,Ballers,Wickets
Temba Bavuma,31,0,Junior Dala,0
Junior Dala,31,0,Dean Elgar,0
Quinton De Kock,28,0,Bjorn Fortuin,0
Faf du Plessis,37,0,George Linde,0
Dean Elgar,34,0,Sisanda Magala,0
Bjorn Fortuin,27,0,-,0
Beuran Hendricks,31,0,-,0
Heinrich Klaasen,30,0,-,0
George Linde,29,0,-,0
Sisanda Magala,30,0,-,0
Keshav Maharaj,31,0,-,0
