Name,Age,Runs,Ballers,Wickets
Charith Asalanka,23,0,Ashen Bandara,0
Ashen Bandara,22,0,Dushmantha Chameera,0
Minod Bhanuka,26,0,Akila Dananjaya,0
Dushmantha Chameera,29,0,Wanidu Hasaranga,0
Dinesh Chandimal,32,0,Nuwan Pradeep,0
Akila Dananjaya,28,0,-,0
Dananjaya De Silva,30,0,-,0
Wanindu Hasaranga,24,0,-,0
Niroshan Dickwella,28,0,-,0
Lasith Embuldeniya,25,0,-,0
Nuwan Pradeep,35,0,-,0
